date,aspsp,attempts,successes,csr
2026-06-20,Barclyne Bank,47492,45829,0.965
2026-06-20,Haldane Building Soc,30350,29105,0.959
2026-06-20,Cortex Building Society,12915,12269,0.95
2026-06-20,Northern Rockford,21435,20363,0.95
2026-06-20,Meridian Pensions,8418,7997,0.95
2026-06-21,Barclyne Bank,47613,45946,0.965
2026-06-21,Haldane Building Soc,30177,28939,0.959
2026-06-21,Cortex Building Society,12805,12164,0.95
2026-06-21,Northern Rockford,21389,14544,0.68
2026-06-21,Meridian Pensions,8366,7947,0.95
2026-06-22,Barclyne Bank,46761,45124,0.965
2026-06-22,Haldane Building Soc,30238,28998,0.959
2026-06-22,Cortex Building Society,12742,12104,0.95
2026-06-22,Northern Rockford,22431,21309,0.95
2026-06-22,Meridian Pensions,8210,7799,0.95
2026-06-23,Barclyne Bank,47202,45549,0.965
2026-06-23,Haldane Building Soc,31237,29956,0.959
2026-06-23,Cortex Building Society,13143,12485,0.95
2026-06-23,Northern Rockford,22101,20995,0.95
2026-06-23,Meridian Pensions,8347,7929,0.95
2026-06-24,Barclyne Bank,49371,47643,0.965
2026-06-24,Haldane Building Soc,30156,28919,0.959
2026-06-24,Cortex Building Society,13075,12421,0.95
2026-06-24,Northern Rockford,21722,20635,0.95
2026-06-24,Meridian Pensions,8220,7809,0.95
2026-06-25,Barclyne Bank,46899,45257,0.965
2026-06-25,Haldane Building Soc,30643,29386,0.959
2026-06-25,Cortex Building Society,13042,12389,0.95
2026-06-25,Northern Rockford,21578,20499,0.95
2026-06-25,Meridian Pensions,8441,8018,0.95
2026-06-26,Barclyne Bank,48400,46706,0.965
2026-06-26,Haldane Building Soc,30762,29500,0.959
2026-06-26,Cortex Building Society,12836,12194,0.95
2026-06-26,Northern Rockford,21422,20350,0.95
2026-06-26,Meridian Pensions,8178,7769,0.95
2026-06-27,Barclyne Bank,48210,46512,0.965
2026-06-27,Haldane Building Soc,31044,29760,0.959
2026-06-27,Cortex Building Society,12880,12235,0.950
2026-06-27,Northern Rockford,22190,21080,0.950
2026-06-27,Meridian Pensions,8400,7980,0.950
2026-06-28,Barclyne Bank,49001,47285,0.965
2026-06-28,Haldane Building Soc,30870,29601,0.959
2026-06-28,Cortex Building Society,13010,12360,0.950
2026-06-28,Northern Rockford,21980,20871,0.950
2026-06-28,Meridian Pensions,8510,8085,0.950
2026-06-29,Barclyne Bank,47880,46200,0.965
2026-06-29,Haldane Building Soc,31220,29940,0.959
2026-06-29,Cortex Building Society,12640,10490,0.830
2026-06-29,Northern Rockford,22050,20948,0.950
2026-06-29,Meridian Pensions,8390,7971,0.950
2026-06-30,Barclyne Bank,48550,46851,0.965
2026-06-30,Haldane Building Soc,30990,29719,0.959
2026-06-30,Cortex Building Society,12905,9291,0.720
2026-06-30,Northern Rockford,21870,20776,0.950
2026-06-30,Meridian Pensions,8460,8037,0.950
2026-07-01,Barclyne Bank,49200,47472,0.965
2026-07-01,Haldane Building Soc,31410,30122,0.959
2026-07-01,Cortex Building Society,13120,9316,0.710
2026-07-01,Northern Rockford,22240,21128,0.950
2026-07-01,Meridian Pensions,8600,8170,0.950
2026-07-02,Barclyne Bank,48990,47275,0.965
2026-07-02,Haldane Building Soc,31100,29825,0.959
2026-07-02,Cortex Building Society,12750,9052,0.710
2026-07-02,Northern Rockford,22010,20910,0.950
2026-07-02,Meridian Pensions,8480,8056,0.950
