date,aspsp,initiated,sca_abandoned,completed,conversion
2026-06-27,Barclyne Bank,8983,494,8219,0.915
2026-06-27,Haldane Building Soc,6188,959,4888,0.79
2026-06-27,Cortex Building Society,2386,143,2159,0.905
2026-06-27,Northern Rockford,4236,262,3812,0.9
2026-06-27,Meridian Pensions,1610,93,1461,0.907
2026-06-28,Barclyne Bank,9165,504,8385,0.915
2026-06-28,Haldane Building Soc,6002,930,4741,0.79
2026-06-28,Cortex Building Society,2456,147,2222,0.905
2026-06-28,Northern Rockford,4368,270,3931,0.9
2026-06-28,Meridian Pensions,1567,90,1422,0.907
2026-06-29,Barclyne Bank,9254,508,8467,0.915
2026-06-29,Haldane Building Soc,6112,947,4828,0.79
2026-06-29,Cortex Building Society,2472,148,2237,0.905
2026-06-29,Northern Rockford,4378,271,3940,0.9
2026-06-29,Meridian Pensions,1572,91,1427,0.908
2026-06-30,Barclyne Bank,9553,525,8740,0.915
2026-06-30,Haldane Building Soc,5913,916,4671,0.79
2026-06-30,Cortex Building Society,2384,143,2157,0.905
2026-06-30,Northern Rockford,4388,272,3949,0.9
2026-06-30,Meridian Pensions,1555,90,1411,0.907
2026-07-01,Barclyne Bank,9191,505,8409,0.915
2026-07-01,Haldane Building Soc,5875,910,4641,0.79
2026-07-01,Cortex Building Society,2432,145,2200,0.905
2026-07-01,Northern Rockford,4391,272,3951,0.9
2026-07-01,Meridian Pensions,1609,93,1460,0.907
2026-07-02,Barclyne Bank,9476,521,8670,0.915
2026-07-02,Haldane Building Soc,6009,931,4747,0.79
2026-07-02,Cortex Building Society,2437,146,2205,0.905
2026-07-02,Northern Rockford,4332,268,3898,0.9
2026-07-02,Meridian Pensions,1610,93,1461,0.907
